sample	1-100	101-200	201-300	301-400	401-500	501-600
S9	0	0	4	49	70984	0
S8	0	0	1	10	45896	0
S3	0	0	1	40	63755	0
S2	0	0	0	33	54151	0
S1	0	0	1	47	53043	0
S7	0	0	2	38	40657	0
S6	0	0	0	35	45493	0
S5	0	0	3	26	55374	0
S4	0	0	1	9	40272	0
W7	0	0	2	106	69451	1
W6	0	0	3	80	56458	0
W5	0	0	5	119	65459	0
W4	0	0	1	86	49169	0
W3	0	0	1	177	51887	0
W2	0	0	2	76	49600	0
W1	0	1	4	147	73277	0
W8	0	0	2	96	72759	0
