Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Total,Percent,Prevalence
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__wastewater_metagenome_g__norank_o__Saccharimonadales,OTU10,11,2.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_o__Saccharimonadales,OTU21,4,5.53547e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__unclassified_o__Babeliales,g__unclassified_o__Babeliales,s__unclassified_o__Babeliales,OTU33,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__unclassified_g__Gemmatimonas,OTU40,7,9.68708e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__norank_f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,s__unclassified_g__norank_f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,OTU41,5,6.91934e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chloroplast,f__norank_o__Chloroplast,g__norank_o__Chloroplast,s__uncultured_Cyanobacterium_sp._g__norank,OTU46,6,8.30321e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__Deinococcus_grandis,OTU84,23,3.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_fermentum,OTU101,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,s__unclassified_g__Legionella,OTU117,4,5.53547e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Methylophilaceae,g__Methylotenera,s__uncultured_bacterium_g__Methylotenera,OTU130,5,6.91934e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__RBG-16-58-14,s__uncultured_bacterium_g__RBG-16-58-14,OTU138,7,9.68708e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,s__unclassified_g__Arenimonas,OTU152,405,0.00056,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__unclassified_g__norank_o__Saccharimonadales,OTU176,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavisolibacter,s__unclassified_g__Flavisolibacter,OTU203,5,6.91934e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,s__unclassified_g__Lysobacter,OTU218,25,3.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__norank_f__Verrucomicrobiaceae,s__unclassified_g__norank_f__Verrucomicrobiaceae,OTU226,106,0.00015,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Armatimonadetes,c__norank_p__Armatimonadetes,o__norank_p__Armatimonadetes,f__norank_p__Armatimonadetes,g__norank_p__Armatimonadetes,s__uncultured_soil_bacterium_g__norank_p__Armatimonadetes,OTU231,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__norank_f__Chitinophagaceae,s__metagenome_g__norank_f__Chitinophagaceae,OTU274,7,9.68708e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__norank_c__Gammaproteobacteria,f__norank_c__Gammaproteobacteria,g__norank_c__Gammaproteobacteria,s__metagenome_g__norank_c__Gammaproteobacteria,OTU23,6,8.30321e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS_17,g__norank_f__env.OPS_17,s__uncultured_bacterium_g__norank_f__env.OPS_17,OTU276,6,8.30321e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingorhabdus,s__uncultured_bacterium_g__Sphingorhabdus,OTU55,28871,0.03995,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__unclassified_f__Acetobacteraceae,s__unclassified_f__Acetobacteraceae,OTU48,18,2.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__norank_c__Verrucomicrobiae,f__norank_c__Verrucomicrobiae,g__norank_c__Verrucomicrobiae,s__uncultured_bacterium_g__norank_c__Verrucomicrobiae,OTU302,136,0.00019,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__unclassified_p__Patescibacteria,o__unclassified_p__Patescibacteria,f__unclassified_p__Patescibacteria,g__unclassified_p__Patescibacteria,s__unclassified_p__Patescibacteria,OTU81,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__norank_f__Vermiphilaceae,s__uncultured_bacterium_g__norank_f__Vermiphilaceae,OTU54,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloparacoccus,s__unclassified_g__Methyloparacoccus,OTU306,9,1.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Blastocatellia_Subgroup_4,o__Blastocatellales,f__Blastocatellaceae,g__JGI_0001001-H03,s__unclassified_g__JGI_0001001-H03,OTU83,5,6.91934e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Zixibacteria,c__norank_p__Zixibacteria,o__norank_p__Zixibacteria,f__norank_p__Zixibacteria,g__norank_p__Zixibacteria,s__bacterium_enrichment_culture_clone_Anammox_55,OTU314,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__unclassified_g__Subgroup_10,OTU5,11,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__OLB12,s__uncultured_bacterium_g__OLB12,OTU355,14,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhodomicrobiaceae,g__Rhodomicrobium,s__uncultured_Rhodomicrobium_sp._g__Rhodomicrobium,OTU103,3,4.15161e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__unclassified_g__Streptomyces,OTU375,85,0.00012,70.588235294118%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Holophagae,o__Subgroup_7,f__norank_o__Subgroup_7,g__norank_o__Subgroup_7,s__uncultured_Acidobacterium_sp._g__norank_o__Subgroup_7,OTU88,10,1.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__Ohtaekwangia,s__uncultured_bacterium_g__Ohtaekwangia,OTU137,4,5.53547e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Permianibacter,s__uncultured_bacterium_g__Permianibacter,OTU402,6,8.30321e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__norank_c__Parcubacteria,f__norank_c__Parcubacteria,g__norank_c__Parcubacteria,s__uncultured_bacterium_g__norank_c__Parcubacteria,OTU97,3,4.15161e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Chlamydiae,c__Chlamydiae,o__Chlamydiales,f__unclassified_o__Chlamydiales,g__unclassified_o__Chlamydiales,s__unclassified_o__Chlamydiales,OTU42,3,4.15161e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__UBA12409,g__norank_f__UBA12409,s__uncultured_bacterium_g__norank_f__UBA12409,OTU153,4,5.53547e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Rokubacteria,c__NC10,o__Rokubacteriales,f__norank_o__Rokubacteriales,g__norank_o__Rokubacteriales,s__bacterium_WX65,OTU413,14,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Microvirga,s__metagenome_g__Microvirga,OTU100,29,4.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__Paenibacillus_turicensis,OTU68,3,4.15161e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Subgroup_6,o__norank_c__Subgroup_6,f__norank_c__Subgroup_6,g__norank_c__Subgroup_6,s__uncultured_Acidobacterium_sp._g__norank_c__Subgroup_6,OTU30,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__norank_f__Verrucomicrobiaceae,s__uncultured_bacterium_g__norank_f__Verrucomicrobiaceae,OTU154,31,4.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_o__Saccharimonadales,OTU3,6,8.30321e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Rhodoferax,s__unclassified_g__Rhodoferax,OTU448,129,0.00018,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SC-I-84,g__norank_f__SC-I-84,s__uncultured_bacterium_g__norank_f__SC-I-84,OTU115,279,0.00039,88.235294117647%
d__Bacteria,k__norank_d__Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria,OTU87,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavisolibacter,s__unclassified_g__Flavisolibacter,OTU169,7,9.68708e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Cavicella,s__uncultured_bacterium_g__Cavicella,OTU121,43,6.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Nitrosomonadaceae,g__Ellin6067,s__unclassified_g__Ellin6067,OTU471,58,8.0E-5,58.823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__S085,f__norank_o__S085,g__norank_o__S085,s__uncultured_bacterium_g__norank_o__S085,OTU90,4,5.53547e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Subgroup_25,o__norank_c__Subgroup_25,f__norank_c__Subgroup_25,g__norank_c__Subgroup_25,s__uncultured_bacterium_g__norank_c__Subgroup_25,OTU35,5,6.91934e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Thermomonas,s__uncultured_bacterium_g__Thermomonas,OTU13,1482,0.00205,64.705882352941%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Coxiellales,f__Coxiellaceae,g__Coxiella,s__unclassified_g__Coxiella,OTU180,14,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,s__unclassified_g__Arenimonas,OTU139,38,5.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium_hominis,OTU501,40,6.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Paracaedibacterales,f__Paracaedibacteraceae,g__Candidatus_Paracaedibacter,s__unclassified_g__Candidatus_Paracaedibacter,OTU91,12,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Nitrospirae,c__Thermodesulfovibrionia,o__norank_c__Thermodesulfovibrionia,f__norank_c__Thermodesulfovibrionia,g__norank_c__Thermodesulfovibrionia,s__uncultured_Sphingobacteriales_bacterium_g__norank,OTU45,9,1.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__Nocardioides_sp._N372010,OTU17,24,3.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_albensis,OTU161,24,3.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Brucella,s__Brucella_melitensis_g__Brucella,OTU504,23,3.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Tibeticola,s__uncultured_bacterium_g__Tibeticola,OTU147,281,0.00039,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__unclassified_g__norank_f__67-14,OTU52,37,5.0E-5,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Planctomycetes,c__OM190,o__norank_c__OM190,f__norank_c__OM190,g__norank_c__OM190,s__uncultured_bacterium_g__norank_c__OM190,OTU212,2,2.76774e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__wastewater_metagenome_g__norank_f__A4b,OTU28,49,7.0E-5,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chloroplast,f__norank_o__Chloroplast,g__norank_o__Chloroplast,s__unclassified_g__norank_o__Chloroplast,OTU184,4,5.53547e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Agromyces,s__unclassified_g__Agromyces,OTU29,42,6.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__UBA12409,g__norank_f__UBA12409,s__unclassified_g__norank_f__UBA12409,OTU529,3,4.15161e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__unclassified_c__Deltaproteobacteria,f__unclassified_c__Deltaproteobacteria,g__unclassified_c__Deltaproteobacteria,s__unclassified_c__Deltaproteobacteria,OTU1,4,5.53547e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Woeseiaceae,g__Woeseia,s__uncultured_bacterium_g__Woeseia,OTU148,11,2.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Rickettsiella,s__unclassified_g__Rickettsiella,OTU213,19,3.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Dinghuibacter,s__uncultured_bacterium_g__Dinghuibacter,OTU59,5,6.91934e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__norank_f__Xanthobacteraceae,s__unclassified_g__norank_f__Xanthobacteraceae,OTU188,395,0.00055,100%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodopirillaceae,g__Defluviicoccus,s__unclassified_g__Defluviicoccus,OTU47,8,1.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Paracaedibacterales,f__Paracaedibacteraceae,g__Candidatus_Paracaedibacter,s__uncultured_bacterium_g__Candidatus_Paracaedibacter,OTU89,8,1.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Microtrichales,f__Ilumatobacteraceae,g__CL500-29_marine_group,s__uncultured_actinobacterium_g__CL500-29_marine_group,OTU531,734,0.00102,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__IMCC26256,f__norank_o__IMCC26256,g__norank_o__IMCC26256,s__Actinobacteria_bacterium_IMCC26256,OTU172,333,0.00046,64.705882352941%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,s__uncultured_prokaryote_g__Arenimonas,OTU219,519,0.00072,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__GKS98_freshwater_group,s__metagenome_g__GKS98_freshwater_group,OTU190,137,0.00019,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,s__unclassified_g__Arthrobacter,OTU4,9119,0.01262,82.352941176471%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Chloroplast,f__norank_o__Chloroplast,g__norank_o__Chloroplast,s__Lepocinclis_tripteris,OTU70,3,4.15161e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Patulibacter,s__Patulibacter_minatonensis,OTU181,10,1.0E-5,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__unclassified_g__Hymenobacter,OTU220,31,4.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__AB1,g__norank_f__AB1,s__uncultured_proteobacterium_g__norank_f__AB1,OTU547,16,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus_Koribacter,s__uncultured_bacterium_g__Candidatus_Koribacter,OTU109,4,5.53547e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Ralstonia,s__Ralstonia_pickettii,OTU204,7,9.68708e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__unclassified_g__norank_o__Saccharimonadales,OTU12,7,9.68708e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__Subgroup_6,o__norank_c__Subgroup_6,f__norank_c__Subgroup_6,g__norank_c__Subgroup_6,s__metagenome_g__norank_c__Subgroup_6,OTU85,12,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__uncultured_candidate_division_WS5_bacterium,OTU6,20,3.0E-5,58.823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__norank_c__Actinobacteria,f__norank_c__Actinobacteria,g__norank_c__Actinobacteria,s__uncultured_bacterium_g__norank_c__Actinobacteria,OTU261,4,5.53547e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Cupriavidus,s__Cupriavidus_pauculus,OTU234,21,3.0E-5,35.294117647059%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Paenarthrobacter,s__unclassified_g__Paenarthrobacter,OTU7,128,0.00018,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Diplorickettsia,s__unclassified_g__Diplorickettsia,OTU110,44,6.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Arenimonas,s__unclassified_g__Arenimonas,OTU238,47,7.0E-5,23.529411764706%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__norank_o__SJA-15,g__norank_o__SJA-15,s__uncultured_soil_bacterium_g__norank_o__SJA-15,OTU34,5,6.91934e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_o__Saccharimonadales,OTU105,12,2.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__norank_f__Rhodanobacteraceae,s__uncultured_actinobacterium_g__norank_f__Rhodanobacteraceae,OTU126,4,5.53547e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Acidobacteria,c__AT-s3-28,o__norank_c__AT-s3-28,f__norank_c__AT-s3-28,g__norank_c__AT-s3-28,s__unclassified_g__norank_c__AT-s3-28,OTU267,4,5.53547e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Brachymonas,s__uncultured_bacterium_g__Brachymonas,OTU235,22,3.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank_f__Anaerolineaceae,s__uncultured_prokaryote_g__norank_f__Anaerolineaceae,OTU11,5,6.91934e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__1-20,f__norank_o__1-20,g__norank_o__1-20,s__uncultured_Chloroflexia_bacterium_g__norank_o__1-20,OTU25,3,4.15161e-6,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Melainabacteria,o__Vampirovibrionales,f__norank_o__Vampirovibrionales,g__norank_o__Vampirovibrionales,s__uncultured_bacterium_g__norank_o__Vampirovibrionales,OTU24,3,4.15161e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__WS6_Dojkabacteria,o__norank_c__WS6_Dojkabacteria,f__norank_c__WS6_Dojkabacteria,g__norank_c__WS6_Dojkabacteria,s__metagenome_g__norank_c__WS6_Dojkabacteria,OTU240,12,2.0E-5,17.647058823529%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__unclassified_f__Devosiaceae,s__unclassified_f__Devosiaceae,OTU559,12,2.0E-5,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__unclassified_o__Gammaproteobacteria_Incertae_Sedis,s__unclassified_o__Gammaproteobacteria_Incertae_Sedis,OTU112,2,2.76774e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,s__unclassified_g__Ferruginibacter,OTU118,10,1.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__norank_f__Chitinophagaceae,s__unclassified_g__norank_f__Chitinophagaceae,OTU283,3,4.15161e-6,11.764705882353%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_o__Saccharimonadales,OTU49,6,8.30321e-6,5.8823529411765%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__norank_f__Propionibacteriaceae,s__uncultured_Actinomycetales_bacterium_g__norank_f__Propionibacteriaceae,OTU254,17,2.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Parasegetibacter,s__Parasegetibacter_luojiensis,OTU2,10,1.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,s__Deinococcus_sp.,OTU144,5,6.91934e-6,5.8823529411765%
