Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Total,Percent,Prevalence
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__SAR324_cladeMarine_group_B,f__norank_o__SAR324_cladeMarine_group_B,g__norank_o__SAR324_cladeMarine_group_B,s__unclassified_g__norank_o__SAR324_cladeMarine_group_B,OTU3325,9,1.0E-5,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Brooklawnia,s__metagenome_g__Brooklawnia,OTU3311,114,0.00016,52.941176470588%
d__Bacteria,k__norank_d__Bacteria,p__WPS-2,c__norank_p__WPS-2,o__norank_p__WPS-2,f__norank_p__WPS-2,g__norank_p__WPS-2,s__metagenome_g__norank_p__WPS-2,OTU3345,66,9.0E-5,64.705882352941%
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Saccharofermentans,s__unclassified_g__Saccharofermentans,OTU3339,12,2.0E-5,41.176470588235%
d__Bacteria,k__norank_d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Candidatus_Woesebacteria,f__norank_o__Candidatus_Woesebacteria,g__norank_o__Candidatus_Woesebacteria,s__uncultured_bacterium_g__norank_o__Candidatus_Woesebacteria,OTU3373,28,4.0E-5,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__norank_c__Elusimicrobia,f__norank_c__Elusimicrobia,g__norank_c__Elusimicrobia,s__unclassified_g__norank_c__Elusimicrobia,OTU3323,5,6.91934e-6,29.411764705882%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank_f__Anaerolineaceae,s__unclassified_g__norank_f__Anaerolineaceae,OTU3391,13,2.0E-5,41.176470588235%
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Microtrichales,f__unclassified_o__Microtrichales,g__unclassified_o__Microtrichales,s__unclassified_o__Microtrichales,OTU3352,179,0.00025,47.058823529412%
d__Bacteria,k__norank_d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__norank_f__Vermiphilaceae,s__uncultured_bacterium_g__norank_f__Vermiphilaceae,OTU3360,14,2.0E-5,41.176470588235%
d__Bacteria,k__norank_d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_bacterium_g__norank_f__A4b,OTU3407,364,0.0005,47.058823529412%
